,FECHA DE ELABORACIÓN,16/10/2025,   
,PRODUCCIÓN DE FECHA DE FAENA,15/10/2025,
,CABEZAS FAENADAS,424,
Tropas: 32230/32231/32232/32234/36042/36043/36044/38303/38309/51082/51083/51084/55041/,,,
55042/55043/56123/64044/75204,,,
CÓDIGO PRODUCTO,DESCRIPCION,CAJAS,KG. NETO
IBMCF3039,RECORTES DE LENGUA,1,18
IBMCF3090,PULMON,53,689
IBMCF3161,CUAJO NATURAL SEMICOCIDO,13,208
IBMCF3180,GA\A5OTE,8,112
IBMCF3230,TRONCO DE LENGUA,4,80
IBMCF3250,UBRE,3,48
IBMCFC020,CORAZON,32,384
IBMCFC221,CARNE CHICA,5,60
IBMCFE010,HIGADO,5,50
IBMCFE030,LENGUA CORTE SUIZO,19,239
IBMCFE041,LABIO,30,300
IBMCFE042,CARNE DE CABEZA,10,120
IBMCFE043,NUEZ DE QUIJADA,31,372
IBMCFE050,SESO,2,25.95
IBMCFE060,CENTRO DE ENTRA\A5A,6,72
IBMCFE070,RABO,42,420
IBMCFE081,RI\A5ON,18,180
IBMCFE100,TRIPA GORDA,11,110
IBMCFE140,SANGRIA,26,260
IBMCFE141,CARNE CHICA,11,110
IBMCFE210,MONDONGO VERDE CRUDO,223,2230
IBMCFE300,AORTA,6,72
IBMCFE310,TENDON,61,732
IBMCFE320,VINZA,6,72
IBMCFE340,MEDULA ESPINAL,12,120
IBMCFE370,TRIPA ORILLA,37,370
IBMCFE371,TRIPA ORILLA,42,420
IBMCFE410,MEMBRANA,3,36
IBMCHE010,HIGADO,63,699.8
IBMCPE170,LIBRILLO SEMICOCIDO BLANQUEADO,13,130
IBMCPE171,LIBRILLO NATURAL SEMI COCIDO,16,160
IBMCPE179,RECORTE DE LIBRILLO NATURAL SEMI COCIDO,2,36
IBMCPE202,BONETE SEMI COCIDO,12,120
,,826,9055.75
